Maschine 1;Maschine 2
12.66322404;12.39111339
12.41265149;12.11934318
12.57683282;12.55391816
12.54434852;12.37814893
12.54537445;12.50628092
12.40826046;12.40403319
12.62446971;12.54071361
12.60851077;12.62309808
12.6694785;12.57550537
12.48556771;12.18405575
12.59953826;12.43669622
12.35910622;12.48447651
12.52663358;12.19914243
12.42399661;12.31335705
12.38098962;12.52349559
12.54680123;12.13649387
12.41245111;12.43872243
12.35366565;12.45414985
12.46739382;12.47623811
12.50937336;12.4504207
12.46610414;12.32621965
12.56965096;12.32674146
12.39171699;12.19247638
12.64080975;12.3354675
12.4911779;12.22636154
12.43541642;12.66269531
12.35272241;12.33473772
12.49609431;12.3747167
12.48310575;12.65857605
12.5030186;12.71230614
12.46876555;12.25720667
12.3621029;12.51188304
12.50132693;12.39328716
12.57758067;12.51486306
12.76620854;12.47824072
12.52851796;12.42008698
12.5133186;12.45553222
12.49080962;12.39930354
12.36797114;12.48175593
12.38357993;12.35763161
12.42068486;12.67232073
12.55826666;12.37068521
12.50472675;12.58091484
12.64144917;12.88819704
12.53343294;12.71962336
12.46764399;12.590406
12.74336434;12.45022148
12.4661955;12.44440075
12.50297301;12.26640613
12.57415576;12.49190415
12.58683825;12.54142944
12.51539311;12.4822884
12.37388652;12.35353002
12.60989872;12.42148279
12.62594479;12.66335583
12.67465745;12.40509053
12.46961811;12.50065304
12.42406368;12.39467576
12.42779003;12.56036296
12.45898394;12.54733218
12.58071983;12.46320556
12.5153447;12.22412612
12.49265573;12.32438674
12.47147241;12.38103419
12.64053286;12.34381734
12.50307953;12.26377137
12.4477492;12.59975774
12.73313742;12.18675107
12.45344585;12.39256713
12.51253991;12.31538038
12.41192109;12.41209581
12.52252009;12.51729854
12.65816903;12.46007817
12.51108128;12.50363319
12.48500937;12.63533249
12.5128916;12.19886824
12.4382417;12.58667328
12.52270976;12.50587216
12.48765406;12.3234308
12.43134699;12.43895779
12.50460568;12.59450419
12.49581535;12.33745927
12.44922817;12.48433712
12.62321833;12.43743903
12.5350843;12.27443284
12.29968848;12.41480442
12.43428171;12.47088986
12.76851447;12.56276273
12.49745349;12.89957045
12.55706884;12.50569502
12.38387508;12.50841638
12.47922569;12.51359448
12.42090745;12.6269735
12.42156994;12.44796048
12.47410728;12.64768646
12.45665982;12.87260528
12.59162758;12.27931996
12.36596251;12.58252063
12.22625164;12.84014746
12.24392286;12.39123963
12.51277614;12.15747074
12.53022359;12.21209452
12.56109866;12.55240797
12.58033502;12.54007367
12.39422502;12.27523596
12.59668354;12.34864161
12.4676641;12.55144203
12.54621107;12.64692639
12.4913087;12.26320071
12.60961215;12.39274914
12.51212507;12.58337278
12.3603913;12.58509728
12.48116237;12.64445957
12.68777185;12.4891481
12.54503938;12.41059497
12.50158191;12.5012215
12.50260502;12.68198937
12.43816083;12.69010833
12.5346543;12.57841693
12.48455331;12.33022763
12.46513057;12.56754409
12.46571389;12.46279441
12.4424208;12.28701172
12.40094486;12.51357152
12.37587949;12.60963355
12.52430577;12.71370463
12.4087849;12.68290911
12.43842318;12.76306737
12.55663717;12.23929467
12.71165991;12.43738445
12.47828394;12.55444221
12.45908399;12.47698986
12.47093212;12.49267679
12.43817536;12.64594025
12.60399101;12.50983479
12.5657282;12.65317644
12.50585689;12.11548599
12.49689654;12.46467663
12.63247387;12.52143193
12.39243804;12.66906396
12.5098676;12.5663263
12.49209085;12.52582941
12.28720025;12.59062069
12.52801365;12.55744603
12.5988602;12.32149721
12.59721077;12.41317586
12.34609832;12.36526701
12.50333328;12.38276603
12.38039809;12.62200382
12.43801488;12.33320679
12.69915628;12.53096499
12.43543216;12.54376048
12.53611863;12.25186572
12.57184037;12.58099745
12.50321851;12.69088423
12.38746322;12.28536988
12.57908796;12.34152353
12.5387053;12.40411565
12.45781095;12.54000206
12.55287093;12.5207012
12.61650524;12.34968715
12.57698455;12.45257443
12.34125555;12.50694044
12.56047753;12.48162461
12.52718337;12.17248589
12.47131792;12.34186982
12.41562999;12.34800289
12.4818913;12.37318357
12.4400072;12.48800578
12.58175058;12.25452561
12.43657093;12.67115355
12.53006234;12.37327468
12.61021622;12.33214389
12.39701155;12.44426151
12.49382775;12.48965524
12.39766585;12.7442907
12.46301211;12.65325323
12.36030866;12.5001787
12.39936197;12.48422972
12.42041874;12.52226205
12.31574203;12.15035812
12.50306939;12.28258123
12.53327618;12.31533074
12.50272472;12.6104854
12.45509723;12.4266496
12.62580741;12.26101184
12.53902959;12.21559758
12.58174348;12.36854251
12.46598154;12.4281235
12.69319126;12.18878062
12.56536719;12.45315405
12.52768561;12.76218505
12.36960757;12.57864825
12.54031418;12.43449621
12.53309286;12.34506021
12.48068929;12.41072727
12.64521984;12.38355105
12.60270176;12.22285207
12.51038663;12.60320407
12.27068247;12.32831027
12.53625155;12.1764866
12.41775129;12.70168494
12.33676528;12.49431624
12.40760769;12.40070003
12.54845562;12.39529136
12.54347655;12.66537838
12.33100533;12.41540886
12.57241692;12.56164067
12.36579177;12.59501258
12.51330122;12.23690785
12.64836891;12.37724859
12.40363276;12.49791019
12.52066825;12.38911597
12.50226567;12.56591967
12.4362286;12.59309835
12.40271004;12.30112229
12.64658721;12.23848772
12.35726978;12.50244809
12.56803134;12.53169887
12.53383011;12.39781216
12.48607102;12.54143229
12.25417235;12.19834303
12.43826088;12.46205009
12.57438124;12.32999989
12.76637103;12.45118927
12.47629479;12.47215717
12.57410631;12.30333196
12.54399568;12.70938044
12.38064729;12.36773358
12.4784963;12.62417372
12.31464005;12.41257877
12.39316981;12.56025509
12.79528628;12.69347523
12.53082775;12.37848243
12.67436505;12.35482189
12.3169464;12.24429984
12.51130898;12.4944777
12.52573282;12.18599372
12.47744096;12.4904468
12.45587769;12.63650285
12.6343366;12.44158096
12.53337383;12.03499386
12.40841097;12.35832953
12.40555175;12.66992762
12.48190253;12.29331933
12.39705641;12.48583831
12.37518764;12.57038967
12.4426476;12.6094043
12.4520955;12.30265276
12.4026391;12.75236826
12.47539629;12.32777546
12.4375519;12.42540114
12.4588166;12.38372775
12.52058623;12.49290843
12.45879353;12.34821921
12.46571968;12.47952313
12.48616465;12.74527058
12.67116699;12.37599147
12.50843945;12.51534932
12.45221343;12.7436776
12.55383684;12.20348758
12.56092804;12.33057245
12.55412511;12.36096835
12.43567048;12.35049228
12.42493147;12.21625198
12.55197191;12.40208211
12.41826054;12.43778141
